Thu Jun 16 04:19:22 2022 Epoch 54, lr: 0.0000842, val loss: 74.99006, acc: 73.79000
Thu Jun 16 04:19:28 2022 Epoch 42, lr: 0.0000905, val loss: 85.88672, acc: 69.61000
Thu Jun 16 04:19:38 2022 Epoch 18, lr: 0.0000984, val loss: 106.45884, acc: 61.51000
Thu Jun 16 04:19:39 2022 Epoch 33, lr: 0.0000942, val loss: 96.50180, acc: 65.81000
Thu Jun 16 04:19:49 2022 Epoch 55, lr: 0.0000837, val loss: 74.73817, acc: 73.90000
Thu Jun 16 04:19:55 2022 Epoch 43, lr: 0.0000900, val loss: 84.24869, acc: 70.16000
Thu Jun 16 04:20:07 2022 Epoch 34, lr: 0.0000938, val loss: 95.24918, acc: 66.38000
Thu Jun 16 04:20:16 2022 Epoch 56, lr: 0.0000831, val loss: 76.97360, acc: 73.10000
Thu Jun 16 04:20:23 2022 Epoch 44, lr: 0.0000895, val loss: 80.87726, acc: 71.17000
Thu Jun 16 04:20:26 2022 Epoch 19, lr: 0.0000982, val loss: 107.99383, acc: 61.50000
Thu Jun 16 04:20:35 2022 Epoch 35, lr: 0.0000934, val loss: 94.73363, acc: 66.88000
Thu Jun 16 04:20:43 2022 Epoch 57, lr: 0.0000825, val loss: 75.64811, acc: 73.56000
Thu Jun 16 04:20:51 2022 Epoch 45, lr: 0.0000890, val loss: 84.64736, acc: 69.82000
Thu Jun 16 04:21:03 2022 Epoch 36, lr: 0.0000930, val loss: 95.38473, acc: 65.91000
Thu Jun 16 04:21:10 2022 Epoch 58, lr: 0.0000819, val loss: 74.20980, acc: 74.18000
Thu Jun 16 04:21:14 2022 Epoch 20, lr: 0.0000980, val loss: 106.42331, acc: 61.97000
Thu Jun 16 04:21:18 2022 Epoch 46, lr: 0.0000885, val loss: 82.14675, acc: 71.65000
Thu Jun 16 04:21:31 2022 Epoch 37, lr: 0.0000926, val loss: 95.56504, acc: 66.44000
Thu Jun 16 04:21:37 2022 Epoch 59, lr: 0.0000813, val loss: 72.16824, acc: 75.16000
Thu Jun 16 04:21:46 2022 Epoch 47, lr: 0.0000880, val loss: 81.86949, acc: 71.03000
Thu Jun 16 04:21:59 2022 Epoch 38, lr: 0.0000922, val loss: 92.13759, acc: 67.66000
Thu Jun 16 04:22:03 2022 Epoch 21, lr: 0.0000978, val loss: 105.03131, acc: 62.74000
Thu Jun 16 04:22:04 2022 Epoch 60, lr: 0.0000806, val loss: 73.16822, acc: 74.56000
Thu Jun 16 04:22:13 2022 Epoch 48, lr: 0.0000875, val loss: 81.22187, acc: 71.25000
Thu Jun 16 04:22:26 2022 Epoch 39, lr: 0.0000918, val loss: 94.86358, acc: 66.43000
Thu Jun 16 04:22:31 2022 Epoch 61, lr: 0.0000800, val loss: 72.95984, acc: 74.56000
Thu Jun 16 04:22:40 2022 Epoch 49, lr: 0.0000870, val loss: 83.14229, acc: 70.46000
Thu Jun 16 04:22:51 2022 Epoch 22, lr: 0.0000976, val loss: 105.75004, acc: 62.05000
Thu Jun 16 04:22:54 2022 Epoch 40, lr: 0.0000914, val loss: 92.21141, acc: 67.83000
Thu Jun 16 04:22:58 2022 Epoch 62, lr: 0.0000794, val loss: 70.45123, acc: 75.84000
Thu Jun 16 04:23:08 2022 Epoch 50, lr: 0.0000864, val loss: 79.93916, acc: 72.12000
Thu Jun 16 04:23:23 2022 Epoch 41, lr: 0.0000909, val loss: 91.16764, acc: 67.94000
Thu Jun 16 04:23:25 2022 Epoch 63, lr: 0.0000788, val loss: 73.88456, acc: 74.29000
Thu Jun 16 04:23:35 2022 Epoch 51, lr: 0.0000859, val loss: 82.93326, acc: 70.77000
Thu Jun 16 04:23:41 2022 Epoch 23, lr: 0.0000973, val loss: 104.19690, acc: 62.88000
Thu Jun 16 04:23:51 2022 Epoch 42, lr: 0.0000905, val loss: 89.45526, acc: 68.44000
Thu Jun 16 04:23:51 2022 Epoch 64, lr: 0.0000781, val loss: 72.37462, acc: 75.21000
Thu Jun 16 04:24:03 2022 Epoch 52, lr: 0.0000854, val loss: 79.96007, acc: 72.14000
Thu Jun 16 04:24:18 2022 Epoch 65, lr: 0.0000775, val loss: 73.87382, acc: 74.32000
